,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
101,101,-34.736277471521106,150.835193416307,0.3681,0.0805999663838293,1.7032071352005005,3.0,1.6666094201586537,130.91704183084408,9.10431936624431,POINT (150.835193416307 -34.736277471521106),3,2,South-eastern Coasts,Short (2022)
104,104,-37.803414832498994,148.6775847140797,0.408,0.052970715134201,1.434809684753418,3.0,1.3459217491489313,167.12410971248136,8.38488919202119,POINT (148.6775847140797 -37.803414832498994),3,2,South-eastern Coasts,Short (2022)
105,105,-33.412244995828296,151.46677964165912,0.3997,0.0664465833756511,1.7568620443344116,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.46677964165912 -33.412244995828296),3,2,South-eastern Coasts,Short (2022)
108,108,-26.679504314695222,153.1221870591089,0.36602,0.0610270329976909,2.036008834838867,3.0,1.4986181608867088,108.67434455467756,8.532282651613174,POINT (153.1221870591089 -26.679504314695222),3,2,South-eastern Coasts,Short (2022)
113,113,-37.77671316206981,149.34964685616242,0.374,0.058318787851587,1.4885696172714231,3.0,1.8676284982662483,157.68964414629266,8.776856373018948,POINT (149.34964685616242 -37.77671316206981),3,2,South-eastern Coasts,Short (2022)
118,118,-33.94975158253686,151.25748180957183,0.3789,0.0620664788012122,1.7310645580291748,3.0,1.676821437416869,132.87101236789593,9.115279952137216,POINT (151.25748180957183 -33.94975158253686),3,2,South-eastern Coasts,Short (2022)
145,145,-35.80418551733988,150.2268435505201,0.5396,0.0684625381056611,1.651980996131897,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.2268435505201 -35.80418551733988),3,2,South-eastern Coasts,Short (2022)
154,154,-33.10105816060676,151.6548913333111,0.5716,0.0506867988265205,1.774580955505371,3.0,1.0837601818365374,135.5693746786204,8.297102824854582,POINT (151.6548913333111 -33.10105816060676),3,2,South-eastern Coasts,Short (2022)
162,162,-33.10105816060676,151.6548913333111,0.5716,0.0506867988265205,1.774580955505371,3.0,1.0837601818365374,135.5693746786204,8.297102824854582,POINT (151.6548913333111 -33.10105816060676),3,2,South-eastern Coasts,Short (2022)
174,174,-33.10105816060676,151.6548913333111,0.5716,0.0506867988265205,1.774580955505371,3.0,1.0837601818365374,135.5693746786204,8.297102824854582,POINT (151.6548913333111 -33.10105816060676),3,2,South-eastern Coasts,Short (2022)
183,183,-33.530366078170324,151.3667096502005,0.6797,0.0742886543594744,1.749924659729004,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.3667096502005 -33.530366078170324),3,2,South-eastern Coasts,Short (2022)
185,185,-32.06494458041889,152.54428803404315,0.6498,0.0673928900663744,1.837745785713196,3.0,1.849589031704472,127.3061581106856,9.316288346659851,POINT (152.54428803404315 -32.06494458041889),3,2,South-eastern Coasts,Short (2022)
187,187,-30.25334392603417,153.14157197465002,0.6475,0.1154774965145789,1.8887872695922847,3.0,1.6351264182080314,117.6059020626407,8.9323807098709,POINT (153.14157197465002 -30.25334392603417),3,2,South-eastern Coasts,Short (2022)
194,194,-32.06494458041889,152.54428803404315,0.6498,0.0673928900663744,1.837745785713196,3.0,1.849589031704472,127.3061581106856,9.316288346659851,POINT (152.54428803404315 -32.06494458041889),3,2,South-eastern Coasts,Short (2022)
