,Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,PROJECT ,SITE,Year,DATE,TRANSECT,d95,Mean,Std,Skewness,Kurtosis,Contact,Unnamed: 0.1,Unnamed: 0,Sample_ID,Sample_Type_Code,Project,Date,Location_Type,num_orig_dists,Measured_Distributions,Grainsize,Median,Wentworth,Kurtosis_Class,Skewness_Class,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,Notes,geometry
118,119.0,S,6.0,W,,34.41539,-119.83581,0.0,BF,E,0.3406,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,120.0,S,6.0,W,,34.415,-119.83686,0.0,BF,E,0.204,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,121.0,S,6.0,W,,34.41428,-119.83869,0.0,BF,E,0.2829,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,122.0,S,6.0,W,,34.41311,-119.84039,0.0,BF,E,0.2139,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,123.0,S,6.0,W,,34.41094,-119.8415,0.0,BF,E,0.2861,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,124.0,S,6.0,W,,34.40847,-119.84208,0.0,BF,E,0.3136,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,125.0,S,6.0,W,,34.40558,-119.84367,0.0,BF,E,0.3407,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,126.0,S,6.0,W,,34.40481,-119.84458,0.0,BF,E,0.2879,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,127.0,S,6.0,W,,34.40639,-119.84908,0.0,BF,E,0.3922,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128.0,S,6.0,W,,34.40697,-119.85108,0.0,BF,E,0.3064,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,129.0,S,6.0,W,,34.40872,-119.85742,0.0,BF,E,0.3525,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,130.0,S,6.0,W,,34.40897,-119.85958,0.0,BF,E,0.2763,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
