ID,Sample_ID,Sample_Type_Code,Project,dataset,Date,Location_Type,latitude,longitude,Contact,num_orig_dists,Measured_Distributions,Grainsize,Mean,Median,Wentworth,Kurtosis,Kurtosis_Class,Skewness,Skewness_Class,Std,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,Notes
241369,,1,,UMASS,9/19/2014,dune,41.41297,-70.54471,"Jonathan Woodruff, UMASS",0,,,0.414778817,,MediumSand,0.725648839,Platykurtic,0.535909141,VeryCoarseSkewed,0.729824372,VeryWellSorted,0.252112676,0.287323944,0.316535433,0.351741294,0.369154229,0.434304636,,0.500414747,0.519078341,0.531520737,0.541889401,Season: summer; Beach Face: 0.119; Transect: C
241370,,1,,UMASS,3/23/2015,toe of dune,41.41298,-70.54463,"Jonathan Woodruff, UMASS",0,,,0.411855045,,MediumSand,0.714859973,Platykurtic,0.554627108,VeryCoarseSkewed,0.721167574,VeryWellSorted,0.24625,0.281756757,0.312313433,0.345895522,0.363317073,0.429577465,,0.5,0.520716113,0.534526854,0.546035806,Season: winter; Beach Face: 0.147; Transect: C
241377,,1,,UMASS,3/23/2015,berm crest,41.41302,-70.54457,"Jonathan Woodruff, UMASS",0,,,0.551890345,,CoarseSand,0.804678743,Platykurtic,0.505136096,VeryCoarseSkewed,0.666599902,VeryWellSorted,0.280645161,0.335849057,0.389375,0.457606838,0.491794872,0.592947368,,0.698210526,0.728071749,0.745560538,0.760134529,Season: winter; Beach Face: 0.147; Transect: C
241378,,1,,UMASS,9/19/2014,berm crest,41.41304,-70.54459,"Jonathan Woodruff, UMASS",0,,,0.477207445,,MediumSand,0.755889144,Platykurtic,0.52351821,VeryCoarseSkewed,0.730337235,VeryWellSorted,0.289189189,0.327631579,0.36358209,0.410597015,0.43158371,0.502964072,,0.570329341,0.594267782,0.609330544,0.621882845,Season: summer; Beach Face: 0.119; Transect: C
241379,,1,,UMASS,9/19/2014,high tide,41.41307,-70.54454,"Jonathan Woodruff, UMASS",0,,,0.656318945,,CoarseSand,0.87969627,Platykurtic,0.470345115,VeryCoarseSkewed,0.665717934,VeryWellSorted,0.317647059,0.390833333,0.465714286,0.549541284,0.590631579,0.714440994,,0.815372671,0.849686848,0.869728601,0.886430063,Season: summer; Beach Face: 0.119; Transect: C
241380,,1,,UMASS,9/19/2014,mid tide ,41.41309,-70.5445,"Jonathan Woodruff, UMASS",0,,,0.54910407,,CoarseSand,0.761726248,Platykurtic,0.502885453,VeryCoarseSkewed,0.638920483,VeryWellSorted,0.268292683,0.319672131,0.369634146,0.442342342,0.478378378,0.596025105,,0.718446328,0.751497175,0.773531073,0.791892655,Season: summer; Beach Face: 0.119; Transect: C
241381,,1,,UMASS,3/23/2015,high tide,41.41309,-70.54447,"Jonathan Woodruff, UMASS",0,,,0.614101014,,CoarseSand,0.884898205,Platykurtic,0.513396451,VeryCoarseSkewed,0.68942619,VeryWellSorted,0.315151515,0.3878,0.455238095,0.524807692,0.553653846,0.652748092,,0.750322581,0.779354839,0.798709677,0.81483871,Season: winter; Beach Face: 0.147; Transect: C
241385,,1,,UMASS,9/19/2014,berm crest,41.41504,-70.54683,"Jonathan Woodruff, UMASS",0,,,0.54668795,,CoarseSand,0.793888396,Platykurtic,0.527862347,VeryCoarseSkewed,0.715590066,VeryWellSorted,0.312765957,0.362650602,0.413253012,0.467536232,0.496521739,0.575913043,,0.657936508,0.686507937,0.705555556,0.718013699,Season: summer; Beach Face: 0.114; Transect: D
241386,,1,,UMASS,3/24/2015,toe of dune,41.41506,-70.54688,"Jonathan Woodruff, UMASS",0,,,0.645906903,,CoarseSand,0.834791487,Platykurtic,0.517068062,VeryCoarseSkewed,0.746198797,VeryWellSorted,0.385,0.4552,0.510451613,0.562709677,0.591267606,0.675774648,,0.756448203,0.781183932,0.797674419,0.81141649,Season: winter; Beach Face: 0.118; Transect: D
241387,,1,,UMASS,9/19/2014,high tide,41.41506,-70.54678,"Jonathan Woodruff, UMASS",0,,,0.688318171,,CoarseSand,0.829145175,Platykurtic,0.501291258,VeryCoarseSkewed,0.682089149,VeryWellSorted,0.353333333,0.431764706,0.501636364,0.575272727,0.611694915,0.73544484,,0.849253012,0.883951807,0.907084337,0.926361446,Season: summer; Beach Face: 0.114; Transect: D
241388,,1,,UMASS,9/19/2014,mid tide ,41.41509,-70.54674,"Jonathan Woodruff, UMASS",0,,,0.475574425,,MediumSand,0.775848854,Platykurtic,0.510214933,VeryCoarseSkewed,0.675290664,VeryWellSorted,0.25,0.300649351,0.33961039,0.394273504,0.423128492,0.509402985,,0.593174603,0.621746032,0.640793651,0.656666667,Season: summer; Beach Face: 0.114; Transect: D
241389,,1,,UMASS,3/24/2015,berm crest,41.4151,-70.54682,"Jonathan Woodruff, UMASS",0,,,0.656447516,,CoarseSand,0.871529072,Platykurtic,0.497858237,VeryCoarseSkewed,0.700509306,VeryWellSorted,0.344,0.426666667,0.493333333,0.558153846,0.592114537,0.69784141,,0.7899729,0.821680217,0.842442748,0.857709924,Season: winter; Beach Face: 0.118; Transect: D
241390,,1,,UMASS,3/24/2015,high tide,41.41512,-70.54679,"Jonathan Woodruff, UMASS",0,,,0.510178885,,CoarseSand,0.796164314,Platykurtic,0.531271009,VeryCoarseSkewed,0.713188349,VeryWellSorted,0.291935484,0.339473684,0.383939394,0.438245614,0.461637427,0.53833935,,0.616376812,0.642463768,0.659855072,0.674347826,Season: winter; Beach Face: 0.118; Transect: D
241391,,1,,UMASS,9/19/2014,low tide,41.41512,-70.54669,"Jonathan Woodruff, UMASS",0,,,1.231630595,,VeryCoarseSand,0.713501194,Platykurtic,0.582901182,VeryCoarseSkewed,0.716300037,VeryWellSorted,0.736,0.848205128,0.93025641,1.040054054,1.091405405,1.280793651,,1.493963415,1.56804878,1.617439024,1.658597561,Season: summer; Beach Face: 0.114; Transect: D
241392,,1,,UMASS,3/24/2015,mid tide ,41.41514,-70.54675,"Jonathan Woodruff, UMASS",0,,,0.628099396,,CoarseSand,0.857253569,Platykurtic,0.504252149,VeryCoarseSkewed,0.675826763,VeryWellSorted,0.315151515,0.387058824,0.455121951,0.528695652,0.561304348,0.67246696,,0.776296296,0.80962963,0.831851852,0.849218107,Season: winter; Beach Face: 0.118; Transect: D
