,Sample_ID,d50,dataset,Date,tanBeta,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
1150,15569,0.559037962459934,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1151,15570,0.63861307865406,rossi,1995-01-16,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),73.09249973,0.929999992,1.049999952,11.18500006,0.03613981860440278
1152,15565,0.653841687621231,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1153,15566,0.31975428687317403,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1157,11955,1.7641610528340101,rossi,1991-09-19,0.125,27.45676,-80.28709,POINT (-80.28709000000001 27.45676),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.022743391512518592
1158,11956,0.388511584984693,rossi,1991-09-19,0.125,27.4569,-80.2865,POINT (-80.2865 27.4569),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.022151081524195676
1159,11962,0.31557088629029306,rossi,1991-09-19,0.125,27.457040000000003,-80.28593000000001,POINT (-80.28593000000001 27.45704),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.021577495829953858
1163,11950,0.39777617915714203,rossi,1991-09-19,0.115,27.461920000000003,-80.28909,POINT (-80.28909 27.46192),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.022994023777745096
1164,11948,0.635962733949616,rossi,1991-09-19,0.115,27.462059999999997,-80.2885,POINT (-80.2885 27.46206),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.022387909341683655
1165,11951,0.38025264674229803,rossi,1991-09-19,0.115,27.4622,-80.28792,POINT (-80.28792 27.4622),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.021791606620243997
1171,,0.5,SusanBell_UniversitySouthernFlorida,2010-10-03,0.165,27.4657,-80.2898,POINT (-80.2898 27.4657),135.0212525,0.48375000100000004,0.49000001,2.1450001,0.02324524271096069
1172,,0.5,SusanBell_UniversitySouthernFlorida,2010-10-03,0.165,27.4657,-80.2898,POINT (-80.2898 27.4657),135.0212525,0.48375000100000004,0.49000001,2.1450001,0.02324524271096069
1173,,0.5,SusanBell_UniversitySouthernFlorida,2010-10-03,0.165,27.4657,-80.2898,POINT (-80.2898 27.4657),135.0212525,0.48375000100000004,0.49000001,2.1450001,0.02324524271096069
1174,,0.5,SusanBell_UniversitySouthernFlorida,2010-10-03,0.165,27.4657,-80.2898,POINT (-80.2898 27.4657),135.0212525,0.48375000100000004,0.49000001,2.1450001,0.02324524271096069
1175,11941,0.415242911606391,rossi,1991-09-19,0.145,27.46695,-80.29148,POINT (-80.29148000000001 27.46695),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.024911859912335736
1176,11940,0.42045609281744206,rossi,1991-09-19,0.145,27.46708,-80.29095,POINT (-80.29095 27.46708),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.024384296026156965
1177,11939,0.349661973634957,rossi,1991-09-19,0.145,27.46722,-80.29035,POINT (-80.29035 27.46722),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.023787844977880418
1178,11938,0.349661973634957,rossi,1991-09-19,0.145,27.46736,-80.28978000000001,POINT (-80.28978000000001 27.46736),61.48375034,0.35625000700000004,0.379999995,6.038749993,0.023222404748256473
1192,15411,0.45629049370179603,rossi,1999-04-11,0.115,27.561390000000003,-80.32278000000001,POINT (-80.32278000000001 27.56139),63.73750067,0.223750001,0.289999992,12.24249995,0.03990941787265484
1193,15412,0.28519867368821805,rossi,1999-04-11,0.115,27.561390000000003,-80.32278000000001,POINT (-80.32278000000001 27.56139),63.73750067,0.223750001,0.289999992,12.24249995,0.03990941787265484
