"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.011,103,604A,L13,,1/1/1997,INDIA,36.98713948,-7.965487348,,1.1,98.9,0,0.315,0.57,-0.014,1.011,0.247,,
1.017,104,605A,L14,,1/1/1997,INDIA,36.98729851,-7.96528841,,2,98,0,0.134,0.573,0.001,1.017,0.247,,
1.487,105,606A,L15,,1/1/1997,INDIA,36.98745754,-7.965089472,,21.7,78.3,0,-0.448,1.007,-0.279,1.487,-0.243,,
1.129,106,607A,L16,,1/1/1997,INDIA,36.98761648,-7.964890646,,8.3,91.7,0,0.001,0.736,-0.088,1.129,0.247,,
1.339,107,608A,L17,,1/1/1997,INDIA,36.98777551,-7.964691706,,27.5,72.5,0,-0.72,1.365,-0.424,1.339,-0.243,-3.743,
0.991,108,609A,M12,,1/1/1997,INDIA,36.98682087,-7.965488039,,3.6,96.4,0,0.17,0.646,-0.004,0.991,0.247,,
1.029,109,610A,M13,,1/1/1997,INDIA,36.9869799,-7.965289102,,3.8,96.2,0,0.2,0.63,-0.029,1.029,0.247,,
1,110,611A,M14,,1/1/1997,INDIA,36.98713892,-7.965090165,,5,95,0,0.1,0.635,-0.026,1,0.247,,
0.986,111,612A,M15,,1/1/1997,INDIA,36.98729795,-7.964891227,,3.9,96.1,0,0.2,0.645,-0.058,0.986,0.247,,
1.004,112,613A,M16,,1/1/1997,INDIA,36.98745689,-7.964692401,,2.5,97.5,0,0.265,0.655,0.003,1.004,0.247,,
1.096,113,614A,N12,,1/1/1997,INDIA,36.98666128,-7.965289795,,0.9,99.1,0,0.988,0.594,0.011,1.096,0.747,,
1.009,114,615A,N13,,1/1/1997,INDIA,36.98682031,-7.965090858,,6.6,93.4,0,0.152,0.756,-0.082,1.009,0.247,,
3.5241E+11,115,616A,N14,,1/1/1997,INDIA,36.98697934,-7.964891921,,3.2,96.8,0,0.224,0.571,-0.118,3.5241E+11,0.247,,
0.965,116,617A,N15,,1/1/1997,INDIA,36.98713836,-7.964692983,,0.4,99.6,0,0.301,0.543,0.068,0.965,0.247,,
1.066,117,618A,N16,,1/1/1997,INDIA,36.9872973,-7.964494156,,28.9,71.1,0,-1.116,1.755,-0.551,1.066,-0.243,-3.743,
0.722,118,619A,N17,,1/1/1997,INDIA,36.98745633,-7.964295217,,36.4,63.6,0,-1.149,1.712,-0.498,0.722,-0.243,-3.743,
1.144,119,620A,O12,,1/1/1997,INDIA,36.98634219,-7.96489342,,16.6,83.4,0,0.257,1.272,-0.457,1.144,1.247,-3.243,
0.998,120,621A,O14,,1/1/1997,INDIA,36.98666025,-7.964495547,,3.5,96.5,0,0.179,0.604,-0.054,0.998,0.247,,
1.017,121,622A,O16,,1/1/1997,INDIA,36.98697821,-7.964097782,,0.1,99.9,0,0.648,0.522,-0.037,1.017,0.747,,
1.198,122,623A,O18,,1/1/1997,INDIA,36.98729627,-7.963699902,,8,92,0,-0.095,0.662,-0.155,1.198,0.247,,
1.218,123,624A,Q12,,1/1/1997,INDIA,36.98570392,-7.96410057,,8.7,91.3,0,0.315,0.884,-0.236,1.218,0.747,,
1.355,124,625A,Q14,,1/1/1997,INDIA,36.98602198,-7.963702696,,10.7,89.3,0,0.112,0.931,-0.266,1.355,0.247,,
1.069,125,626A,Q15,,1/1/1997,INDIA,36.986181,-7.963503758,,7.9,92.1,0,-0.166,0.605,-0.064,1.069,-0.243,,
1.072,126,627A,Q16,,1/1/1997,INDIA,36.98633994,-7.963304932,,0.2,99.8,0,0.62,0.352,-0.109,1.072,0.747,,
1.039,127,628A,Q18,,1/1/1997,INDIA,36.98665799,-7.962907051,,0.4,99.6,0,1.238,0.639,-0.039,1.039,1.247,,
1.013,128,629A,Q20,,1/1/1997,INDIA,36.98697604,-7.962509168,,1.4,98.6,0,1.184,0.622,-0.065,1.013,1.247,,
1.009,129,630A,R12,,1/1/1997,INDIA,36.98538474,-7.963704093,,9.2,90.8,0,0.204,0.862,-0.185,1.009,0.747,,
1.242,130,631A,R14,,1/1/1997,INDIA,36.98570279,-7.963306219,,27.1,72.9,0,-0.975,1.801,-0.586,1.242,0.247,-4.243,
1.106,131,632A,R15,,1/1/1997,INDIA,36.98586182,-7.963107281,,3.7,96.3,0,0.67,0.739,-0.145,1.106,0.747,,
