Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
58,820A,Ta 7.Face,Beach face,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.1095,-7.6213,2,0,100,0,1.67,0.47,-0.1,1.06,1.75,,
59,821A,Ta 7.Terraco,Low tide terrace,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.109,-7.6209,1,0.2,98,0,0.62,0.68,-0.01,0.89,0.75,,
60,822A,Ta 2.Aterro,Nourishment,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0692,-7.6975,7,3.8,96.2,0,1.04,0.93,-0.17,0.79,1.75,-0.243,
61,823A,Ta 2.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.069,-7.6974,7,7.7,92.3,0,0.43,0.92,0.17,1.1,-0.24,-1.243,
62,824A,Ta 2.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0686,-7.6973,2,0,100,0,1.72,0.48,-0.05,0.91,1.75,,
63,825A,Ta 2.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0684,-7.6972,,0.2,99.8,0,1.67,0.51,-0.02,0.92,1.75,,
64,826A,Ta 4.Duna,Dune,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0851,-7.6626,7,0,100,0,1.66,0.46,-0.08,1.04,1.75,,
65,827A,Ta 4.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0848,-7.6625,4,1.8,98.2,0,1.14,0.77,-0.19,1,1.25,,
66,828A,Ta 4.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0846,-7.6624,3,0.4,99.6,0,1.42,0.72,-0.24,0.94,1.75,,
67,829A,Ta 4.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0843,-7.6623,,1.5,98.5,0,0.8,0.63,0.06,1.46,0.75,,
68,830A,Ta 6.Duna,Dune,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1009,-7.6369,6,0,100,0,1.86,0.38,0.05,1.07,1.75,,
69,831A,Ta 6.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1006,-7.6367,4,0,100,0,1.1,0.5,-0.06,1.05,1.25,,
70,832A,Ta 6.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1005,-7.6366,1,0.8,99.2,0,0.61,0.42,-0.22,1.29,0.75,,
71,833A,Ta 6.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0999,-7.6363,1,0,100,0,1.61,0.5,-0.19,1.17,1.75,,
72,834A,Ta 7.Duna,Dune,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1103,-7.6218,6,0,100,0,1.73,0.46,-0.06,1,1.75,,
73,835A,Ta 7.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1098,-7.6215,5,3.4,96.6,0,0.45,0.74,0.24,0.83,-0.24,,
74,836A,Ta 7.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1095,-7.6213,2,0,100,0,0.73,0.42,-0.02,1.25,0.75,,
75,837A,Ta 7.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.1093,-7.6212,1,6.8,93.2,0,1.12,1.05,-0.4,1.68,1.25,-2.24,
