Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
79,83,83,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9907,-7.1317,-69,0,0.4,99.6,8.38,2.08,-0.23,1.93
80,84,84,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9638,-7.1355,-86,0,1,99,8.33,2.13,-0.28,2.13
81,85,85,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9412,-7.1399,-97,0,0.9,99.1,8.3,2.08,-0.19,1.97
82,86,86,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9601,-7.2695,-100,0,2.6,97.4,7.86,2.3,-0.06,1.81
83,87,87,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9916,-7.2521,-84,0,1.5,98.5,8.22,2.18,-0.24,1.96
84,88,88,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0234,-7.2556,-63,0,0.1,99.9,7.26,2.85,-0.31,2.04
85,89,89,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0509,-7.2587,-50,0,0.1,99.9,8.58,1.88,-0.23,2.13
86,90,90,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0829,-7.2636,-35,0.1,14.5,85.4,7.28,2.97,-0.47,2.3
87,91,91,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1094,-7.2674,-26,0.8,4,95.2,7.88,2.4,-0.5,3.3
88,92,92,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1365,-7.2676,-20,0,0.4,99.6,8.28,2.05,-0.14,1.95
89,93,93,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1571,-7.274,-16,0.2,2.5,97.3,7.84,2.32,-0.18,2.17
90,94,94,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1755,-7.2771,-13,9.8,47,43.2,3.69,3.03,0.17,3.49
91,95,95,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1181,-7.3838,-19,10.5,75.8,13.7,1.14,2.91,1.88,6.36
92,96,96,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1017,-7.3812,-27,26.5,57.7,15.8,0.79,3.39,1.67,5.08
93,97,97,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.085,-7.3799,-36,9.31,34.15,56.54,4.25,4.09,0.03,1.96
94,98,98,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0653,-7.3789,-49,19.9,21.6,58.5,4.53,4.93,-0.21,1.6
95,99,99,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0343,-7.3741,-77,0,1.4,98.6,8.1,2.21,-0.17,1.88
96,100,100,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0039,-7.3728,-100,0,2.1,97.9,8.15,2.19,-0.2,1.96
97,101,101,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1849,-7.1176,-13,40.9,53.2,5.9,-0.43,2.54,1.53,7.47
98,102,102,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1862,-7.1524,-12,40.9,56.8,2.3,-0.43,2.33,0.77,5.47
99,103,103,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.8306,-7.0137,-116,0.1,22.1,77.8,6.97,2.87,-0.1,1.86
100,104,104,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,36.8611,-6.9922,-110,0,1.5,98.5,8.44,2.04,-0.3,2.18
101,105,105,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0601,-6.9177,-28,1.9,44.6,53.5,5.52,3.47,0.17,1.93
102,106,106,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0857,-6.906,-22,9.2,31.9,58.9,4.87,3.96,-0.15,2.17
103,107,107,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0998,-6.8995,-18,18.8,77.6,3.6,0.39,1.97,2.27,13.33
104,108,108,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1194,-6.8919,-11,4.9,92.1,3,2.23,1.66,0.01,7.28
105,109,109,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1374,-6.9697,-11,14.7,84.3,1,0.48,1.44,-0.29,6.59
106,110,110,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1142,-6.976,-17,40.5,57,2.5,-0.53,1.91,1.31,8.28
107,111,111,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.093,-6.9823,-22,0,0.7,99.3,8.64,2.02,-0.45,2.25
108,112,112,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0684,-6.9906,-30,11.5,28.4,60.1,5.11,4.7,-0.31,1.73
109,113,113,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0355,-7.0005,-39,0.2,9.2,90.6,7.41,2.68,-0.25,2.23
110,114,114,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0648,-7.0737,-37,36.8,25.9,37.3,2.3,5.03,0.54,1.72
111,115,115,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0981,-7.0698,-24,22.2,75.7,2.1,-0.04,1.86,1.76,12.18
112,116,116,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1185,-7.058,-18,17,82.1,0.9,-0.07,1.67,-0.29,7.11
113,117,117,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1521,-7.0481,-13,9.88,89.64,0.48,0.47,1.21,-0.12,7.51
114,118,118,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.189,-7.1397,-12,3,95,2,1.77,1.22,-0.04,7.76
115,119,119,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.166,-7.1406,-16,35.7,55.6,8.7,0.21,2.96,1.78,6.78
116,120,120,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1455,-7.1441,-20,11.9,77.8,10.3,1.04,2.75,2.16,7.76
117,121,121,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1228,-7.1485,-22,31,59.8,9.2,0.29,3.01,2.02,7.34
118,122,122,1/18/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0899,-7.1517,-32,11.5,13.6,74.9,6.08,4.22,-0.7,2.42
119,469,469,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1421,-7.4167,-11.8,0.15,30.7,69.15,4.71,1.7,2.15,8.71
120,470,470,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1314,-7.421,-13,2.87,60.41,36.72,3.5,2.43,0.64,4.81
121,471,471,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1263,-7.4226,-14,5.48,67.75,26.78,1.87,3.11,1.31,3.99
122,472,472,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1131,-7.4282,-15,4.01,46.5,49.48,4.07,2.35,0.26,5.56
123,473,473,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1005,-7.4301,-17,2,42.49,55.52,4.3,2.48,0.5,4.46
124,474,474,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.1001,-7.4299,-22,35.23,50.6,14.17,0.3,3.35,1.63,5.37
125,475,475,11/21/2000,SIRIA,SMT-Dredge SmitMacIntyre,37.0949,-7.4311,-25,21.56,42.72,35.72,2.38,4.3,0.66,2.16
