Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
67,1197A,O.A-P12-A4,10/28/2011,EROS,Hand-Collecting,37.0896,-8.192,3.38,0,100,0,1.668,0.635,-0.06,0.971,1.747,,
68,1198A,O.A-P12-A5,10/28/2011,EROS,Hand-Collecting,37.0897,-8.192,4.55,0,100,0,1.705,0.497,0.025,1.034,1.747,,
69,1199A,O.A-P14-A1,10/28/2011,EROS,Hand-Collecting,37.0891,-8.192,0.81,0.3,99.7,0,1.594,0.817,0.01,1.063,1.247,,
70,1200A,O.A-P14-A2,10/28/2011,EROS,Hand-Collecting,37.0893,-8.192,1.83,0.4,99.6,0,1.884,0.666,-0.007,1.167,1.747,,
71,1201A,O.A-P14-A3,10/28/2011,EROS,Hand-Collecting,37.0895,-8.192,2.7,0.7,99.3,0,1.237,1.032,0.094,0.739,0.247,2.237,
72,1202A,O.A-P14-A4,10/28/2011,EROS,Hand-Collecting,37.0896,-8.192,3.11,2.3,97.7,0,-0.237,0.618,0.273,1.646,-0.243,,
73,1203A,O.A-P14-A5,10/28/2011,EROS,Hand-Collecting,37.0897,-8.192,4.03,0.1,99.9,0,1.429,0.619,-0.18,1.163,1.747,,
74,1204A,O.A-P7-A1,11/25/2011,EROS,Hand-Collecting,37.0886,-8.194,2.2,29.9,70.1,0,-0.743,0.814,-0.01,1.446,-0.743,-2.243,
75,1205A,O.A-P7-A2,11/25/2011,EROS,Hand-Collecting,37.0886,-8.194,3.13,8.3,91.7,0,0.45,1.086,-0.174,1.054,1.247,-0.243,-2.243
76,1206A,O.A-P7-A3,11/25/2011,EROS,Hand-Collecting,37.0887,-8.194,4.12,0.9,99.1,0,0.966,0.689,-0.26,1.142,1.247,,
77,1207A,O.A-P12-A1,11/25/2011,EROS,Hand-Collecting,37.0891,-8.192,1.06,0.3,99.7,0,2.378,0.676,-0.277,1.296,2.737,,
78,1208A,O.A-P12-A2,11/25/2011,EROS,Hand-Collecting,37.0893,-8.192,1.8,10.5,89.5,0,1.182,1.45,-0.552,0.752,2.237,-0.743,
79,1209A,O.A-P12-A3,11/25/2011,EROS,Hand-Collecting,37.0894,-8.192,2.41,9.5,90.5,0,1.132,1.469,-0.462,0.648,2.237,-0.743,
80,1210A,O.A-P12-A4,11/25/2011,EROS,Hand-Collecting,37.0895,-8.192,2.82,11.4,88.6,0,0.354,1.35,0.432,0.606,-0.743,2.237,
81,1211A,O.A-P12-A5,11/25/2011,EROS,Hand-Collecting,37.0895,-8.192,3.25,24.1,75.9,0,0.523,1.764,-0.508,0.676,1.747,-2.243,-0.743
82,1212A,O.A-P12-A6,11/25/2011,EROS,Hand-Collecting,37.0897,-8.192,4.07,1.4,98.6,0,1.306,1.025,-0.435,0.873,1.747,-0.243,
83,1213A,O.A-P12-A7,11/25/2011,EROS,Hand-Collecting,37.0897,-8.192,4.77,0,100,0,1.853,0.488,-0.017,1.002,1.747,,
84,1214A,O.A-P14-A1,11/25/2011,EROS,Hand-Collecting,37.0891,-8.192,0.73,2.8,97.2,0,1.793,1.232,-0.594,1.456,2.737,-0.243,
85,1215A,O.A-P14-A2,11/25/2011,EROS,Hand-Collecting,37.0893,-8.192,1.7,6.4,93.6,0,1.212,1.31,-0.417,0.878,1.747,-0.743,
86,1216A,O.A-P14-A3,11/25/2011,EROS,Hand-Collecting,37.0894,-8.192,2.07,51.5,48.5,0,-1.067,1.134,0.139,0.826,-2.243,-0.743,
87,1217A,O.A-P14-A4,11/25/2011,EROS,Hand-Collecting,37.0895,-8.192,2.47,9.2,90.8,0,0.513,1.101,-0.294,0.809,1.247,-0.743,
88,1218A,O.A-P14-A5,11/25/2011,EROS,Hand-Collecting,37.0896,-8.192,3.26,33.1,66.9,0,-0.101,1.741,0.045,0.602,-2.243,1.747,-0.243
