Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
203,1083A,P4/T5,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0091,-7.796,,2.6,97.4,0,1.014,0.822,-0.27,1.044,1.247,,,Approximate coordinates by geo-referencing
204,1084A,P4/T6,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0084,-7.7949,,4.4,95.6,0,0.674,0.821,-0.153,1.053,0.747,,,Approximate coordinates by geo-referencing
205,863A,1,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9717,-7.8684,-7.8,0.7,99.3,0,0.566,0.466,-1.111,5.431,,,,
206,864A,2,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9726,-7.8689,-9.5,15.95,84.05,0,0.336,1.217,-1.725,5.176,,,,
207,865A,3,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9755,-7.8764,-4,0.72,99.28,0,1.566,1.201,1.118,1.764,,,,
208,866A,4,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9757,-7.8785,-11.5,4.95,94.1,0.95,1.663,1.825,1.01,1.709,,,,
209,867A,5,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9765,-7.881,-8.5,5.1,94.87,0.02,0.896,1.319,0.848,2.497,,,,
210,868A,6,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.978,-7.8881,-4.5,1.5,89.09,9.41,2.622,2.362,1.099,1.356,,,,
211,869A,7,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9787,-7.8873,-12,0.31,97.13,2.56,1.901,1.687,1.332,2.011,,,,
212,870A,8,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.985,-7.8927,-8,14.39,83.01,2.61,1.176,1.972,0.139,1.998,,,,
213,871A,9,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9847,-7.8933,-7,8.28,91.7,0.02,0.926,1.235,-0.067,2.95,,,,
214,872A,10,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9894,-7.9026,-12.5,13.53,85.11,5.58,1.079,1.644,0.06,2.281,,,,
215,873A,11-1(a),1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9925,-7.9082,-6,42.01,57.22,0.77,-0.366,2.559,-1.117,2.111,,,,
216,874A,11-1(a),1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9925,-7.9082,-6,47.4,52.01,0.59,-0.427,2.585,-1.028,1.908,,,,
217,875A,11-A,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9927,-7.9084,-6,61.5,37.3,1.2,-1.229,3.173,-1.058,1.543,,,,
218,876A,12,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,36.9974,-7.9121,-6.5,13.17,86.79,0.05,1.121,1.571,-0.458,2.639,,,,
219,877A,13,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.002,-7.9185,-6.2,13.77,85.07,1.16,1.446,1.978,0.076,1.768,,,,
220,878A,14,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0027,-7.9192,-7.2,11.85,77.47,10.68,1.173,1.792,0.396,2.224,,,,
221,879A,15,1/7/2001,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0022,-7.9207,-7.2,1.75,75,23.25,2.698,2.396,1.087,1.333,,,,
