Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
109,1486A,BG-P1-A5,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3177,0,100,0,1.395,0.415,0.073,1.015,1.247,
110,1487A,BG-P1-A6,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3177,0,100,0,1.566,0.545,-0.116,1.044,1.747,
111,1488A,BG-P1-A7,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3178,0,100,0,1.833,0.467,-0.059,0.987,1.747,
112,1489A,BG-P1-A8,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3179,0,100,0,2.026,0.452,-0.025,1.027,2.237,
113,1490A,BG-P1-A9,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.318,0,100,0,2.239,0.444,-0.005,1.176,2.237,
114,1491A,BG-P2-A3,3/29/2011,MOSES,Hand-Collecting,37.0816,-8.3174,0.3,99.7,0,0.819,0.682,0.077,0.9,0.747,
115,1492A,BG-P2-A4,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3174,0.2,99.8,0,1.201,0.575,-0.144,1.018,1.247,
116,1493A,BG-P2-A5,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3175,0,100,0,1.456,0.453,-0.035,1.007,1.247,
117,1494A,BG-P2-A6,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3176,0,100,0,1.666,0.415,-0.041,1.054,1.747,
118,1495A,BG-P2-A7,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3176,0,100,0,1.853,0.417,0.015,0.995,1.747,
119,1496A,BG-P2-A8,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3177,0,100,0,2.005,0.472,-0.061,1.063,2.237,
120,1497A,BG-P2-A9,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3178,0,100,0,2.163,0.493,-0.032,1.006,2.237,
121,1498A,BG-P3-A10,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3176,0,100,0,2.102,0.661,-0.228,1.268,2.237,
122,1499A,BG-P3-A3,3/29/2011,MOSES,Hand-Collecting,37.0815,-8.3171,0.2,99.8,0,1.056,0.635,-0.101,0.912,1.247,
123,1500A,BG-P3-A4,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3172,0.1,99.9,0,1.317,0.57,-0.135,1.029,1.247,
124,1501A,BG-P3-A5,3/29/2011,MOSES,Hand-Collecting,37.0814,-8.3173,0.1,99.9,0,1.527,0.458,-0.095,1.048,1.747,
125,1502A,BG-P3-A6,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3173,0,100,0,1.214,0.637,-0.018,0.957,1.247,
126,1503A,BG-P3-A7,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3174,0,100,0,1.854,0.426,-0.011,0.997,1.747,
127,1504A,BG-P3-A8,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3175,0,100,0,1.968,0.446,0.063,1.05,1.747,
128,1505A,BG-P3-A9,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3176,0,100,0,2.126,0.478,-0.057,1.049,2.237,
129,1506A,BG-P4-A5,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3171,0,100,0,1.478,0.473,-0.079,1.041,1.747,
130,1507A,BG-P4-A6,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3172,0.1,99.9,0,1.168,0.575,-0.101,0.953,1.247,
131,1508A,BG-P4-A7,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3173,0,100,0,1.762,0.428,-0.008,1.074,1.747,
132,1509A,BG-P4-A8,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3173,0,100,0,1.965,0.477,0.016,1.033,1.747,
133,1510A,BG-P4-A9,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3174,0,100,0,1.994,0.517,-0.087,1.038,2.237,
134,1511A,BG-P5-A2,3/29/2011,MOSES,Hand-Collecting,37.0813,-8.3168,1.9,98.1,0,0.53,0.8,0.067,0.921,0.247,
135,1512A,BG-P5-A3,3/29/2011,MOSES,Hand-Collecting,37.0812,-8.3169,0.3,99.7,0,1.023,0.67,-0.141,0.923,1.247,
136,1513A,BG-P5-A4,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.317,0.2,99.8,0,1.368,0.627,-0.192,1.14,1.747,
137,1514A,BG-P5-A5,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3171,0,100,0,1.521,0.448,-0.028,1.02,1.747,
138,1515A,BG-P5-A6,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3172,0,100,0,1.686,0.419,-0.021,1.059,1.747,
139,1516A,BG-P5-A7,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3172,0,100,0,1.892,0.407,0.055,1.035,1.747,
140,1517A,BG-P5-A8,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.3173,0.2,99.8,0,1.438,0.635,-0.02,1.027,1.247,
141,1518A,BG-P6-A2,3/29/2011,MOSES,Hand-Collecting,37.0811,-8.3167,0.2,99.8,0,0.713,0.691,0.218,0.891,0.247,
142,1519A,BG-P6-A3,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3168,1.7,98.3,0,0.866,0.789,-0.227,0.91,1.247,
143,1520A,BG-P6-A4,3/29/2011,MOSES,Hand-Collecting,37.081,-8.3169,0.2,99.8,0,1.469,0.606,-0.244,1.14,1.747,
144,1521A,BG-P6-A5,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.317,0,100,0,1.696,0.408,-0.046,1.153,1.747,
145,1522A,BG-P6-A6,3/29/2011,MOSES,Hand-Collecting,37.0809,-8.317,0,100,0,1.905,0.418,0.005,1.007,1.747,
146,1523A,BG-P6-A7,3/29/2011,MOSES,Hand-Collecting,37.0808,-8.3171,0.7,99.3,0,1.21,0.946,-0.296,0.781,1.747,0.247
