Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
67,1101,030A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0947,-7.6417,-3,0.62,99.21,0.18,2.29,0.71,-0.21,1.43,2.237,,
68,1102,030C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0915,-7.6417,-6.6,2.34,97.64,0.03,1.13,0.73,0,1.19,1.247,,
69,1103,030F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0852,-7.6417,-12,7.02,92.97,0.01,0.38,0.8,-0.17,1.42,0.247,,
70,1104,031A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0877,-7.65,-3,0.67,99.29,0.04,1.11,0.83,-0.01,0.81,1.247,0.247,
71,1105,031D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0833,-7.65,-8.4,7.22,92.07,0.71,0.85,1.15,-0.09,1.73,0.747,,
72,1106,031H,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.076,-7.65,-15.6,11.69,87.67,0.64,0.06,0.86,-0.2,1.38,0.247,,
73,1107,032B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0845,-7.6583,-4.8,0.3,99.68,0.02,1.26,0.71,0.11,1.02,1.247,,
74,1108,032E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0788,-7.6583,-10.2,4.72,95.25,0.03,1.3,1.15,-0.03,1.02,0.747,2.737,
75,1109,033A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.081,-7.6667,-3,3.21,96.77,0.02,1.7,1.01,-0.37,0.99,2.237,,
76,1110,033C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0793,-7.6667,-6.6,0.84,99.15,0.01,0.69,0.7,0.08,1.1,0.747,,
77,1111,034B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0755,-7.675,-4.8,0.1,99.78,0.12,2.55,0.51,-0.14,1.13,2.737,,
78,1112,034D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0727,-7.675,-8.4,2.85,97.07,0.08,0.99,0.97,-0.01,1.05,0.747,,
79,1113,035C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0705,-7.6833,-6.6,4.57,95.39,0.03,0.57,0.95,0,0.99,0.747,,
80,1114,035F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0592,-7.6833,-12,17.57,82.16,0.27,0.54,1.8,-0.5,1.79,1.247,-3.743,
81,1115,036D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0613,-7.6917,-8.4,11.51,88.47,0.02,0.47,1.28,-0.27,1.4,0.747,-3.743,
82,1116,036G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0492,-7.6917,-13.8,0.66,99.3,0.05,1.28,0.72,-0.15,0.93,1.747,,
83,1117,037A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0655,-7.7,-3,0.12,99.49,0.39,2.48,0.61,-0.31,1.22,2.737,,
84,1118,037D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0583,-7.7,-8.4,1.79,98.19,0.02,0.68,0.8,0.02,0.99,0.747,,
85,1119,037G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0482,-7.7,-13.8,9.52,89.84,0.64,0.46,0.95,-0.3,1.67,0.747,,
86,1120,038A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0587,-7.7083,-3,0.12,99.84,0.04,2.19,0.6,-0.14,0.93,2.237,,
87,1121,038C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.056,-7.7083,-6.6,0.46,99.47,0.06,1.16,0.81,0.19,1.04,0.747,,
88,1122,039B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0512,-7.7167,-4.8,0,99.97,0.02,2.19,0.58,-0.16,0.98,2.237,,
89,1123,039D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0457,-7.7167,-8.4,1.35,98.13,0.52,1.57,0.9,-0.09,0.9,1.747,,
90,1124,040A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0488,-7.725,-3,1.18,98.81,0.01,1.37,1.03,-0.29,0.77,2.237,0.247,
91,1125,040E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.035,-7.725,-10.2,0.27,99.71,0.02,2.04,0.56,0.03,0.99,1.747,,
92,1126,040G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0267,-7.725,-13.8,5.04,94.6,0.36,1.16,0.97,-0.19,1.16,1.247,,
93,1127,041B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0412,-7.7333,-4.8,0.04,98.67,1.3,2.29,0.71,-0.2,1.28,2.237,,
94,1128,041D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0343,-7.7333,-8.4,1.97,98.02,0.01,1.17,0.9,-0.23,0.99,1.747,,
95,1129,042C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0333,-7.7417,-6.6,1.33,98.65,0.02,1.2,0.93,-0.13,0.93,1.747,,
96,1130,042E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0213,-7.7417,-10.2,1.57,98.36,0.07,0.55,0.72,0.06,1.03,0.247,,
97,1131,043E,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0207,-7.75,-10.2,0.1,99.82,0.08,2.35,0.55,-0.11,1.06,2.237,,
98,1132,043H,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.013,-7.75,-15.6,3.27,96.7,0.04,1.75,0.68,-0.15,1.75,1.747,,
99,1133,044A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0313,-7.7583,-3,0.1,99.86,0.04,2.15,0.69,-0.29,0.95,2.737,,
100,1134,044C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.025,-7.7583,-6.6,0.32,99.65,0.03,1.37,0.76,0.07,1.08,1.247,,
101,1135,044F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0132,-7.7583,-12,1.94,98.05,0.01,1.02,0.92,0.01,0.87,0.747,1.747,
102,1136,045B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0207,-7.7667,-4.8,0.05,99.88,0.07,2.12,0.63,-0.17,0.96,2.237,,
103,1137,045D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0153,-7.7667,-8.4,0.04,99.57,0.39,2.53,0.54,-0.17,1.16,2.737,,
104,1138,045H,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0057,-7.7667,-15.6,2.03,95.26,2.71,2.54,0.68,-0.26,1.27,2.737,,
105,1139,046A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.014,-7.775,-3,0.05,99.89,0.06,1.89,0.67,0.03,0.88,1.747,2.737,
106,1140,046C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0098,-7.775,-6.6,0,99.99,0.01,2.36,0.5,-0.19,0.95,2.737,,
107,1141,047B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0027,-7.7833,-4.8,0,99.97,0.03,2.13,0.55,-0.11,1.08,2.237,,
