,Ele,dataset,Grain_Size,Hs,Tp,Ta,Dp,Da,Ea,Es
699,MB,Barnard_Santa_Barbara,0.3763,0.34478372512599903,12.637680219445253,6.398941906044967,202.81977957273747,207.37842960838103,0.03114220833530048,0.6229873569733835
700,MB,Barnard_Santa_Barbara,0.2433,0.5279939204241471,12.495321890206728,7.180979129332145,221.11490554845446,226.4354244364753,0.08401333206761473,1.6804986726894489
701,MB,Barnard_Santa_Barbara,0.17,0.5294099107625185,11.373814799236762,6.9718216082949445,232.28795986837932,230.9117182982919,0.08299880202312149,1.660103849351721
702,MB,Barnard_Santa_Barbara,0.1817,0.4939072975871746,11.53648555185678,6.844057455209344,225.05454624402824,224.05326163755862,0.0738158000981754,1.4764473298944012
703,MB,Barnard_Santa_Barbara,0.2515,0.5425748957938505,11.985758500436635,7.087007995436472,226.68749771493188,229.21527455863006,0.09638747741092227,1.9279593421879153
704,MB,Barnard_Santa_Barbara,0.2075,0.5833422411583922,11.771325633311802,7.086770048154648,223.38481670340997,223.54161545693708,0.1136950346989729,2.274054156621821
705,MB,Barnard_Santa_Barbara,0.2742,0.6602318683975748,10.531236060106671,7.172164515385504,241.81379533138139,237.78109294379675,0.1354185649279096,2.7084832985419287
706,MB,Barnard_Santa_Barbara,0.2523,0.6353112321129509,11.142298911887071,7.182164651641117,236.87301033915074,234.43000515583358,0.12654769298218366,2.531101649854478
707,MB,Barnard_Santa_Barbara,0.2534,0.6410348172052253,10.627503648221971,7.031227732339664,239.50163895502286,235.70727654107554,0.11632107640708433,2.326566084495729
708,MB,Barnard_Santa_Barbara,0.2261,0.6417332722608089,11.08740984092811,7.2916769388214275,241.51749886141323,238.51051403590745,0.12489251106801073,2.4980042869011703
709,MB,Barnard_Santa_Barbara,0.404,0.6536622386797424,11.61772328544647,7.293755211083676,236.86513839006045,236.26296737528995,0.12930171210960117,2.5862577615563676
710,MB,Barnard_Santa_Barbara,0.365,0.6430781623381703,11.470443611814138,7.255574729022261,233.27048968257205,233.19550613460493,0.12185862644950941,2.4374176873892233
711,MB,Barnard_Santa_Barbara,0.425,0.6347441130036424,11.826254821929348,7.310053277888538,233.2813941102233,234.5461957021206,0.12042284070213563,2.4087219990388435
712,MB,Barnard_Santa_Barbara,0.2417,0.6473477937425585,12.809869784671518,7.645463488070324,229.84506351123898,234.97275647094477,0.13484973597406857,2.697376369370746
713,MB,Barnard_Santa_Barbara,0.2388,0.6592799971469789,12.91711037517775,7.7077652439011475,231.78677432667314,237.52870502071661,0.141331517655204,2.8270291993919185
714,MB,Barnard_Santa_Barbara,0.4241,0.6805246587147942,13.176075152185312,8.062584554757148,222.22261681875744,231.01863336426436,0.1756604340844037,3.5136817547490895
715,MB,Barnard_Santa_Barbara,0.3259,0.5847217479257888,13.415676239319811,7.954950344642688,224.10815409207007,231.86190462785046,0.12728968885610845,2.5462105218870716
716,MB,Barnard_Santa_Barbara,0.3847,0.5812918083924083,13.3043005179881,7.336256593311128,238.84890110178682,244.21725923500242,0.12182934449663518,2.4369004755921737
717,MB,Barnard_Santa_Barbara,0.3588,0.7924946212101306,13.15548600136238,8.118268156439571,254.82139593499727,255.67953168798482,0.30785081181090185,6.157305771328408
718,MB,Barnard_Santa_Barbara,0.2215,0.6179732379972374,11.161957174732834,7.356329982567654,259.8518387748545,259.5206032528775,0.15495780318111443,3.099229591093842
719,MB,Barnard_Santa_Barbara,0.2822,0.6179732379972374,11.161957174732834,7.356329982567654,259.8518387748545,259.5206032528775,0.15495780318111443,3.099229591093842
720,MB,Barnard_Santa_Barbara,0.4163,0.8019141907047874,13.282378918377514,8.244631284566381,232.07660048281772,238.81266623424008,0.2553307814304369,5.1074668916791595
721,MB,Barnard_Santa_Barbara,0.3136,0.8019141907047874,13.282378918377514,8.244631284566381,232.07660048281772,238.81266623424008,0.2553307814304369,5.1074668916791595
722,MB,Barnard_Santa_Barbara,0.3439,0.794207952984473,13.256875802302392,8.225671656885103,230.7359503993653,239.16941110032673,0.24177344378432497,4.836323001841711
723,MB,Barnard_Santa_Barbara,0.3767,0.794207952984473,13.256875802302392,8.225671656885103,230.7359503993653,239.16941110032673,0.24177344378432497,4.836323001841711
724,MB,Barnard_Santa_Barbara,0.3026,0.7964974215147503,12.923849696494246,8.102677719843904,233.363699745669,238.27623280024991,0.25325293882084243,5.065726114864326
725,MB,Barnard_Santa_Barbara,0.6065,0.802596480739567,13.087849747666848,8.183723786923427,233.09947035325055,238.78451498154675,0.2629509336084025,5.259686830800947
726,MB,Barnard_Santa_Barbara,0.3918,0.802596480739567,13.087849747666848,8.183723786923427,233.09947035325055,238.78451498154675,0.2629509336084025,5.259686830800947
727,MB,Barnard_Santa_Barbara,0.2947,0.8411669213057771,13.069795545623093,8.274675313080753,231.3634198774609,237.0235732626651,0.28321857621527974,5.665146319182618
728,MB,Barnard_Santa_Barbara,0.3607,0.8292626999000905,13.043394218814589,8.205630531151249,230.8090944148511,236.74087085143412,0.27017032299327653,5.404185658757927
729,MB,Barnard_Santa_Barbara,0.3413,0.8052139451775434,12.380714352022942,7.772070191264902,232.22990049379877,234.3850983930684,0.23483443391396927,4.697261554605875
730,MB,Barnard_Santa_Barbara,0.3157,0.8052139451775434,12.380714352022942,7.772070191264902,232.22990049379877,234.3850983930684,0.23483443391396927,4.697261554605875
731,MB,Barnard_Santa_Barbara,0.2846,0.7757905078162648,10.14046206781008,7.135628599257384,243.95212459389407,235.86278784588484,0.20637139479761907,4.127595578113311
732,MB,Barnard_Santa_Barbara,0.2705,0.7757905078162648,10.14046206781008,7.135628599257384,243.95212459389407,235.86278784588484,0.20637139479761907,4.127595578113311
733,MB,Barnard_Santa_Barbara,0.3774,0.3302466424543092,7.744079517504044,5.104080847470622,219.74951291881783,211.95848095935835,0.019561670897608265,0.39128985864985066
734,MB,Barnard_Santa_Barbara,1.1814,0.3302466424543092,7.744079517504044,5.104080847470622,219.74951291881783,211.95848095935835,0.019561670897608265,0.39128985864985066
735,MB,Barnard_Santa_Barbara,0.4737,0.7158559340129497,14.496035468856897,8.250472955167004,213.59356421486905,221.9397587832385,0.21320218356026407,4.265391185409579
736,MB,Barnard_Santa_Barbara,0.494,0.7275754504984993,14.136583843545369,7.385665233971198,210.40605641392492,221.96921242434604,0.18492999603674243,3.699577069949145
737,MB,Barnard_Santa_Barbara,0.3952,0.7341347169679936,13.789643626347065,7.23797551822296,210.61137648501963,221.89055660395027,0.18219456498795694,3.6449326507723376
738,MB,Barnard_Santa_Barbara,0.7442,0.7341347169679936,13.789643626347065,7.23797551822296,210.61137648501963,221.89055660395027,0.18219456498795694,3.6449326507723376
